word,weight
bah,-3.0
bahadur,5.0
bahaduri,4.0
bahagia,1.5
bahala,-3.0
bahan,-3.0
bahas,2.0
bahasa,-4.0
bahasan,1.0
bahaya,-5.0
bahlul,-5.0
bahtera,-3.0
baiat,-3.0
baik,1.0
baik-baik,1.0
baiklah,2.0
baiknya,1.0
bain,0.5
bait,-3.0
bajak,-4.0
bajik,4.0
bajing,-2.0
baju,2.0
bakar,-1.0
bakat,1.5
bakh,4.0
bakir,4.0
baksis,2.0
baktau,-5.0
bakti,4.0
baku,-1.0
bala,-5.0
balai,-3.0
balairung,-3.0
balas,-1.0
balasan,3.0
balela,-4.0
bales,-3.0
balesnya,-2.0
balik,-3.0
balkon,-3.0
balung,-4.0
balur,-4.0
bambu,-3.0
bambung,-3.0
banal,-3.0
banat,-4.0
bancang,-5.0
banci,-5.0
bandang,-4.0
bandar,-4.0
bandel,-5.0
banding,0.0
bandit,-5.0
bando,-4.0
bandung,-1.0
bangan,-0.5
bangang,-3.0
bangbung,-4.0
banget,1.0
bangett,-2.0
bangga,3.0
bangkai,-4.0
bangkang,-4.0
bangkit,-1.0
bangkot,-4.0
bangkrut,-5.0
bangle,-4.0
bangsal,-3.0
bangsat,-5.0
bangsawan,-0.5
banjir,0.0
bantah,-3.0
bantah-bantah,5.0
bantai,-5.0
bantalan,3.0
bantar,-4.0
banteng,-3.0
bantet,-3.0
banting,-1.0
bantu,-0.5
bantuin,3.0
banyak,0.0
banyaknya,3.0
banyol,-3.0
banyolan,3.0
bapa,3.0
bapanda,3.0
bapang,3.0
baper,-1.5
baperan,-4.0
bapet,-4.0
bara,-0.5
barbar,-5.0
bareng,0.0
baret,-3.0
baring,2.0
barkas,-5.0
barua,-5.0
barut,-3.0
barzakh,-4.0
basi,-5.0
baskom,-4.0
basmi,-5.0
bastar,-2.0
batal,-5.0
batalion,-5.0
batang,-4.0
batas,-3.0
batasan,3.0
batel,-4.0
baterai,-3.0
batil,-4.0
batu,0.0
batuk,-4.0
batuk-batuk,-4.0
batung-batung,-4.0
bau,-4.0
bausuku,3.0
bawa,-1.0
bawaan,3.0
bawain,-3.0
bawel,-4.0
baya,-4.0
bayang,2.0
bayang-bayang,3.0
bayangan,3.0
bayangkara,3.0
bayar,-1.0
bayi,-3.0
bayu,-4.0
bebal,-3.0
beban,-5.0
bebas,-4.0
bebat,-3.0
bebel,-5.0
beber,0.5
bebodoran,2.0
becak,-5.0
becek,-4.0
becus,-1.5
beda,-2.0
bedah,0.0
bedegap,0.5
bedegong,-4.0
bedel,-4.0
bedeng,-3.0
bedol,-4.0
begadang,-3.0
begah,-2.0
begak,-3.0
begal,-5.0
begana-begini,-4.0
begini,-1.0
beginian,-3.0
begu,-4.0
beguk,-4.0
begundal,-3.0
bejat,-5.0
bekal,3.0
bekap,-3.0
bekas,0.5
bekicot,-4.0
belagu,4.0
belah,-5.0
belai,-4.0
belaian,-3.0
belain,-2.0
belajar,3.0
belaka,-1.0
belam,-3.0
belang,-5.0
belanja,-0.5
belas,-0.5
belati,-4.0
belembang,-5.0
belendung,-3.0
belenggu,-3.0
beleter,-4.0
beli,-0.5
belia,-2.0
beliin,-1.0
belikan,-1.0
beling,-1.0
belingsat,-4.0
belinjo,-3.0
belis,-4.0
belit,-3.0
beloh,-5.0
belok,3.0
belom,0.0
beloon,-3.0
belot,-5.0
belu-belai,-4.0
belukar,3.0
belulang,-3.0
benar,-1.0
benar-benar,2.0
bencana,-5.0
bencat,-5.0
benci,-0.5
bencong,-5.0
bendel,-5.0
bendera,-3.0
benderang,-3.0
bendoro,-4.0
bendu,-4.0
bendung,-3.0
bener,1.0
beneran,3.0
bengal,-4.0
bengap,-3.0
bengis,-5.0
bengkak,-4.0
bengkerap,-4.0
bengkok,-4.0
bengok,-4.0
benguk,-2.0
bening,-4.0
benjut,-4.0
bentak,-5.0
bentakan,-5.0
bentan,-4.0
bentang,-1.0
bentrok,-5.0
bentuk,4.0
bentukan,3.0
bentul,-3.0
bentur,1.0
benyot,-4.0
beol,-5.0
bepergian,1.0
beperkara,-4.0
berada,4.0
beradu,-4.0
beraduk,-3.0
beragam,-3.0
berahi,0.0
berair,-1.0
berak,-4.0
berakal,4.0
berakar,-0.5
berakhlak,-4.0
berakibat,3.0
berakidah,4.0
beralas,4.0
beralasan,-4.0
beralaskan,-4.0
beralih,-3.0
berambu-rambu,-4.0
beramuk,-4.0
beramuk-amukan,-4.0
beranak,3.0
beranak-pinak,2.0
beranang,-3.0
beranda,-1.0
berandalan,-5.0
berang,-5.0
berangai,-5.0
berangan,-3.0
berangkal,-3.0
berangkat,-4.0
berangsang,-5.0
berangsur,-3.0
beranjak,-3.0
berantak,-4.0
berantakan,-5.0
berantara,-3.0
berantem,-4.0
berapat-rapat,-3.0
berapit,-4.0
beraras,4.0
berarti,1.0
berasa,-2.0
berasak,-3.0
berasal,-3.0
berasimilasi,-3.0
beraturan,4.0
berawan,-3.0
berbabil,-4.0
berbagai,3.0
berbagi,2.0
berbahagia,1.5
berbahaya,-4.0
berbakat,1.5
berbakti,-3.0
berbalik,-5.0
berbanding,-3.0
berbantah,-5.0
berbantahan,-3.0
berbayar,-3.0
berbecak-becak,-3.0
berbeda,-4.0
berbelit-belit,-4.0
berbenak,3.0
berbentuk,3.0
berbenturan,-4.0
berbetulan,3.0
berbiak,-3.0
berbicara,-3.0
berbisa,-5.0
berbobot,2.0
berbohong,-4.0
berbondong-bondong,-3.0
berbuah,2.0
berbunga,3.0
berburu,-3.0
berburuk,-4.0
berbusana,4.0
bercahaya,4.0
bercak,-5.0
bercakar-cakaran,-4.0
bercanda,-4.0
bercaran,-4.0
bercat,-3.0
bercedera,-4.0
bercekak,-3.0
bercekcok,-4.0
bercekit,-4.0
bercelah,-3.0
berceloteh,-4.0
bercempera,-5.0
bercengkerama,-2.0
bercerai-berai,-5.0
bercermin,4.0
bercikun-cikun,-5.0
bercintaan,-3.0
bercokol,-0.5
bercorak,-3.0
bercucuran,-5.0
bercumbu,-4.0
bercumbu-cumbu,-3.0
bercumbuan,-3.0
bercura,-4.0
berdagang,3.0
berdakwa,-4.0
berdalih,-4.0
berdampingan,-3.0
berdandan,4.0
berdansa,-0.5
berdarah,4.0
berdasarkan,-4.0
berdaulat,-3.0
berdaya,3.0
berdebat,-5.0
berdedikasi,-3.0
berdekatan,-4.0
berdekus,-3.0
berdendang,4.0
berdengung,-3.0
berdengus,-3.0
berdenyut,-0.5
berderajat,4.0
berderum,-4.0
berdesakan,-3.0
berdesir,-2.0
berdiam,0.5
berdikit-dikit,-3.0
berdisiplin,4.0
berdoa,0.5
berdompol,-4.0
berdosa,-4.0
berdua,1.0
berduaan,-3.0
berduit,4.0
berduka,-5.0
berdusta,-4.0
berduyun-duyun,-3.0
beredak,-5.0
beredar,2.0
beregu,-3.0
berembuk,3.0
berengsaan,-4.0
berengsek,-5.0
berenti,-3.0
berfaedah,4.0
bergabung,-4.0
bergadang,-4.0
bergaduh,-5.0
bergairah,0.0
bergajul,-5.0
bergamat,4.0
bergamit,-3.0
berganda,-3.0
berganduh,-3.0
berganggang,-3.0
bergantung,4.0
bergas,1.5
bergaul,-3.0
bergaung,-3.0
bergejolak,-3.0
bergelanggang,-0.5
bergelegak,-3.0
bergelora,0.0
bergelut,-4.0
bergema,-1.5
bergemam,-3.0
bergembung,-3.0
bergeming,1.0
bergemuruh,-3.0
bergengsi,4.0
bergerombol,-4.0
bergesek,-3.0
bergesel,-3.0
bergeser,-4.0
bergetar,-1.0
bergigi,3.0
bergolak,-5.0
bergolongan,4.0
bergontok,-4.0
bergosok,-3.0
bergosokan,-3.0
bergoyah,-4.0
berguam,-4.0
berguguran,-3.0
bergulat,-4.0
bergulir,-3.0
bergumam,-3.0
bergumul,-4.0
berguna,5.0
berguncang,-5.0
bergundang,-5.0
bergurau,-4.0
berguru,3.0
berguyub,-3.0
berhajat,2.0
berhala,-4.0
berhamburan,-5.0
berhandai-handai,-3.0
berhantaran,-5.0
berhanyut,-4.0
berharap,0.5
berharga,3.0
berharta,4.0
berhasil,3.0
berhasrat,3.0
berhati-hati,0.5
berhelat,-4.0
berhikmah,2.0
berhimpun,-4.0
berhujah,-4.0
beri,0.0
beribadat,0.5
berikhtiar,3.0
beriktikad,2.0
berilmu,4.0
beriman,3.0
berimbas,3.0
berimbuh,1.0
beringas,-4.0
beringat,-3.0
beringsut,-3.0
berirama,4.0
beristirahat,0.5
berita,-4.0
berjaga-jaga,1.0
berjarak,-4.0
berjasa,4.0
berjatuhan,-1.0
berjaya,4.0
berjejak,-3.0
berjejal,-3.0
berjejal-jejal,-3.0
berjejas,-5.0
berjenis-jenis,3.0
berjihad,0.0
berjilbab,3.0
berjiwa,3.0
berjubal,-3.0
berjunjungan,4.0
berkabung,-5.0
berkabut,-3.0
berkaca,4.0
berkah,4.0
berkait,3.0
berkaitan,3.0
berkandung,5.0
berkarat,-4.0
berkarut,-5.0
berkarya,3.0
berkasih-kasihan,-3.0
berkat,1.0
berkategori,4.0
berkawal,4.0
berkawan,-3.0
berkawanan,-4.0
